sample	AfElphSD3	Armadillo	BaboonSTL	BigHornSD	BlackBr2	BlackLemur	BlackRhino1	BushDog1	Callimicos	Capybara	Chimp1	Colobus	CRBM.05	Gazelle3	Giraffe2	GorillaSTL	Horse1	Hyena2	HyraxSTL	Kroo3	Lion1	Okapi2	Orang1	PolarBr2	Rabbit	RTLemur	Saki	SpecBr2	SpgbkW	Squirrel	Urial2	VWPig	ZebraSTL1
Lion1	134.90737563232	122.474487139159	121.655250605964	134.90737563232	100	118.321595661992	134.90737563232	14.142135623731	111.3552872566	128.062484748657	113.137084989848	118.321595661992	113.137084989848	134.90737563232	134.90737563232	128.062484748657	134.90737563232	14.142135623731	134.90737563232	134.90737563232	0	134.90737563232	121.655250605964	14.142135623731	134.90737563232	122.474487139159	74.8331477354788	122.474487139159	134.90737563232	101.980390271856	134.90737563232	109.544511501033	134.90737563232
Okapi2	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Orang1	128.840987267251	92.736184954957	113.137084989848	128.840987267251	46.9041575982343	87.1779788708135	128.840987267251	128.840987267251	42.4264068711929	114.891252930761	37.4165738677394	87.1779788708135	37.4165738677394	128.840987267251	128.840987267251	114.891252930761	128.840987267251	128.840987267251	128.840987267251	128.840987267251	121.655250605964	128.840987267251	0	121.655250605964	128.840987267251	24.4948974278318	67.8232998312527	24.4948974278318	128.840987267251	70.7106781186548	128.840987267251	100.995049383621	128.840987267251
PolarBr2	134.90737563232	122.474487139159	121.655250605964	134.90737563232	98.9949493661167	118.321595661992	134.90737563232	14.142135623731	111.3552872566	128.062484748657	113.137084989848	118.321595661992	113.137084989848	134.90737563232	134.90737563232	128.062484748657	134.90737563232	14.142135623731	134.90737563232	134.90737563232	14.142135623731	134.90737563232	121.655250605964	0	134.90737563232	122.474487139159	74.8331477354788	122.474487139159	134.90737563232	101.980390271856	134.90737563232	110.453610171873	134.90737563232
Rabbit	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
RTLemur	113.137084989848	101.980390271856	100.995049383621	113.137084989848	34.6410161513775	70.7106781186548	113.137084989848	129.614813968157	54.7722557505166	98.9949493661167	24.4948974278318	70.7106781186548	24.4948974278318	113.137084989848	113.137084989848	98.9949493661167	113.137084989848	129.614813968157	113.137084989848	113.137084989848	122.474487139159	113.137084989848	24.4948974278318	122.474487139159	113.137084989848	0	60	0	113.137084989848	67.8232998312527	113.137084989848	91.6515138991168	113.137084989848
Saki	82.4621125123532	91.6515138991168	67.8232998312527	82.4621125123532	31.6227766016838	50.9901951359278	82.4621125123532	82.4621125123532	63.2455532033676	70.7106781186548	44.7213595499958	50.9901951359278	44.7213595499958	82.4621125123532	82.4621125123532	70.7106781186548	82.4621125123532	82.4621125123532	82.4621125123532	82.4621125123532	74.8331477354788	82.4621125123532	67.8232998312527	74.8331477354788	82.4621125123532	60	0	60	82.4621125123532	44.7213595499958	82.4621125123532	56.5685424949238	82.4621125123532
SpecBr2	113.137084989848	101.980390271856	100.995049383621	113.137084989848	34.6410161513775	70.7106781186548	113.137084989848	129.614813968157	54.7722557505166	98.9949493661167	24.4948974278318	70.7106781186548	24.4948974278318	113.137084989848	113.137084989848	98.9949493661167	113.137084989848	129.614813968157	113.137084989848	113.137084989848	122.474487139159	113.137084989848	24.4948974278318	122.474487139159	113.137084989848	0	60	0	113.137084989848	67.8232998312527	113.137084989848	91.6515138991168	113.137084989848
SpgbkW	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Squirrel	78.7400787401181	70.7106781186548	58.309518948453	78.7400787401181	44.7213595499958	50.9901951359278	78.7400787401181	110.453610171873	50.9901951359278	67.8232998312527	46.9041575982343	50.9901951359278	46.9041575982343	78.7400787401181	78.7400787401181	67.8232998312527	78.7400787401181	110.453610171873	78.7400787401181	78.7400787401181	101.980390271856	78.7400787401181	70.7106781186548	101.980390271856	78.7400787401181	67.8232998312527	44.7213595499958	67.8232998312527	78.7400787401181	0	78.7400787401181	40	78.7400787401181
Urial2	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
VWPig	44.7213595499958	95.9166304662544	24.4948974278318	44.7213595499958	63.2455532033676	37.4165738677394	44.7213595499958	118.321595661992	84.8528137423857	37.4165738677394	69.2820323027551	37.4165738677394	69.2820323027551	44.7213595499958	44.7213595499958	37.4165738677394	44.7213595499958	118.321595661992	44.7213595499958	44.7213595499958	109.544511501033	44.7213595499958	100.995049383621	110.453610171873	44.7213595499958	91.6515138991168	56.5685424949238	91.6515138991168	44.7213595499958	40	44.7213595499958	0	44.7213595499958
ZebraSTL1	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
